Rho_b[0]  niters  time  ads[0]  ads[1]  ads_ex[0]  ads_ex[1]  ptilde  force  ptilde  force  ptilde  force  ptilde  force  omega  omega_s    
 0.37500000  6     1.9374  137.768  137.768  0.236496  0.236496  0  -4.97704  0  -4.97704  0  -4.97704  0  -4.97704  -1823.38  1.9499    
Rho_b[0]  niters  time  ads[0]  ads[1]  ads_ex[0]  ads_ex[1]  ptilde  force  ptilde  force  ptilde  force  ptilde  force  omega  omega_s    
 0.37500000  6     1.8267  137.768  137.768  0.236496  0.236496  0  -4.97704  0  -4.97704  0  -4.97704  0  -4.97704  -1823.38  1.9499    
