5.3	0.0407	0.0413	0.0426	0.0413	0.0407
5.35	0.0406	0.0412	0.0424	0.0412	0.0406
5.4	0.0405	0.041	0.0421	0.041	0.0405
5.45	0.0404	0.0408	0.0418	0.0408	0.0404
5.5	0.0404	0.0407	0.0415	0.0407	0.0404
5.55	0.0403	0.0405	0.0412	0.0405	0.0403
5.6	0.0403	0.0403	0.0409	0.0403	0.0403
5.65	0.0403	0.0401	0.0406	0.0401	0.0403
5.7	0.0403	0.04	0.0403	0.04	0.0403
5.75	0.0403	0.0398	0.04	0.0398	0.0403
5.8	0.0404	0.0397	0.0398	0.0397	0.0404
5.85	0.0404	0.0396	0.0396	0.0396	0.0404
5.9	0.0404	0.0396	0.0395	0.0396	0.0404
5.95	0.0403	0.0395	0.0394	0.0395	0.0403
6	0.0403	0.0395	0.0393	0.0395	0.0403
6.05	0.0402	0.0395	0.0392	0.0395	0.0402
6.1	0.0402	0.0395	0.0392	0.0395	0.0402
6.15	0.0401	0.0396	0.0392	0.0396	0.0401
6.2	0.04	0.0396	0.0392	0.0396	0.04
6.25	0.04	0.0397	0.0393	0.0397	0.04
6.3	0.0399	0.0397	0.0393	0.0397	0.0399
6.35	0.0399	0.0398	0.0394	0.0398	0.0399
6.4	0.0399	0.0398	0.0394	0.0398	0.0399
6.45	0.0398	0.0399	0.0395	0.0399	0.0398
6.5	0.0398	0.0399	0.0395	0.0399	0.0398
6.55	0.0399	0.0399	0.0396	0.0399	0.0399
6.6	0.0399	0.0399	0.0397	0.0399	0.0399
6.65	0.0399	0.0399	0.0397	0.0399	0.0399
6.7	0.04	0.0399	0.0398	0.0399	0.04
6.75	0.04	0.0399	0.0398	0.0399	0.04
6.8	0.0401	0.0399	0.0398	0.0399	0.0401
6.85	0.0401	0.0399	0.0399	0.0399	0.0401
6.9	0.0402	0.0399	0.0399	0.0399	0.0402
6.95	0.0402	0.0399	0.0399	0.0399	0.0402
7	0.0402	0.0399	0.04	0.0399	0.0402
7.05	0.0402	0.04	0.04	0.04	0.0402
7.1	0.0402	0.04	0.04	0.04	0.0402
7.15	0.0402	0.04	0.04	0.04	0.0402
7.2	0.0402	0.04	0.0401	0.04	0.0402
7.25	0.0401	0.04	0.0401	0.04	0.0401
7.3	0.0401	0.04	0.0401	0.04	0.0401
7.35	0.0401	0.04	0.0401	0.04	0.0401
7.4	0.0401	0.04	0.0401	0.04	0.0401
7.45	0.0401	0.04	0.0401	0.04	0.0401
7.5	0.04	0.04	0.0401	0.04	0.04
7.55	0.04	0.04	0.0401	0.04	0.04
7.6	0.04	0.04	0.0401	0.04	0.04
7.65	0.04	0.04	0.0401	0.04	0.04
7.7	0.04	0.04	0.0401	0.04	0.04
7.75	0.04	0.04	0.0401	0.04	0.04
7.8	0.04	0.0401	0.0401	0.0401	0.04
7.85	0.04	0.0401	0.0401	0.0401	0.04
7.9	0.04	0.0401	0.0401	0.0401	0.04
7.95	0.04	0.0401	0.0401	0.0401	0.04
8	0.04	0.0401	0.0401	0.0401	0.04
8.05	0.04	0.0401	0.0401	0.0401	0.04
8.1	0.04	0.0401	0.0401	0.0401	0.04
8.15	0.04	0.0401	0.0401	0.0401	0.04
8.2	0.04	0.0401	0.0401	0.0401	0.04
8.25	0.04	0.0401	0.0401	0.0401	0.04
8.3	0.04	0.0401	0.0401	0.0401	0.04
8.35	0.04	0.0401	0.0401	0.0401	0.04
8.4	0.04	0.0401	0.0401	0.0401	0.04
8.45	0.04	0.0401	0.0401	0.0401	0.04
8.5	0.04	0.0401	0.0401	0.0401	0.04
8.55	0.04	0.0401	0.0401	0.0401	0.04
8.6	0.04	0.0401	0.0401	0.0401	0.04
8.65	0.04	0.0401	0.0401	0.0401	0.04
8.7	0.04	0.0401	0.0401	0.0401	0.04
8.75	0.04	0.0401	0.0401	0.0401	0.04
8.8	0.0401	0.0401	0.0401	0.0401	0.0401
8.85	0.0401	0.0401	0.0401	0.0401	0.0401
8.9	0.0401	0.04	0.0401	0.04	0.0401
8.95	0.0401	0.04	0.0401	0.04	0.0401
9	0.0401	0.04	0.0401	0.04	0.0401
9.05	0.0401	0.04	0.04	0.04	0.0401
9.1	0.0401	0.04	0.04	0.04	0.0401
9.15	0.0401	0.04	0.04	0.04	0.0401
9.2	0.0401	0.04	0.04	0.04	0.0401
9.25	0.0401	0.04	0.04	0.04	0.0401
9.3	0.0401	0.04	0.04	0.04	0.0401
9.35	0.0401	0.04	0.04	0.04	0.0401
9.4	0.0401	0.04	0.04	0.04	0.0401
9.45	0.0401	0.04	0.04	0.04	0.0401
9.5	0.0401	0.04	0.04	0.04	0.0401
9.55	0.0401	0.04	0.04	0.04	0.0401
9.6	0.0401	0.04	0.04	0.04	0.0401
9.65	0.0401	0.04	0.04	0.04	0.0401
9.7	0.04	0.04	0.04	0.04	0.04
9.75	0.04	0.04	0.04	0.04	0.04
9.8	0.04	0.04	0.04	0.04	0.04
9.85	0.04	0.04	0.04	0.04	0.04
9.9	0.04	0.04	0.04	0.04	0.04
9.95	0.04	0.04	0.04	0.04	0.04
10	0.04	0.04	0.04	0.04	0.04
10.1	0.04	0.04	0.04	0.04	0.04
10.1	0.04	0.04	0.04	0.04	0.04
10.2	0.04	0.04	0.04	0.04	0.04
10.2	0.04	0.04	0.04	0.04	0.04
10.3	0.04	0.04	0.04	0.04	0.04
10.3	0.04	0.04	0.04	0.04	0.04
10.4	0.04	0.04	0.04	0.04	0.04
10.4	0.04	0.04	0.04	0.04	0.04
10.5	0.04	0.04	0.04	0.04	0.04
10.5	0.04	0.04	0.04	0.04	0.04
10.6	0.04	0.04	0.04	0.04	0.04
10.6	0.04	0.04	0.04	0.04	0.04
10.7	0.04	0.04	0.04	0.04	0.04
10.7	0.04	0.04	0.04	0.04	0.04
10.8	0.04	0.04	0.04	0.04	0.04
10.8	0.04	0.04	0.04	0.04	0.04
10.9	0.04	0.04	0.04	0.04	0.04
10.9	0.04	0.04	0.04	0.04	0.04
11	0.04	0.04	0.04	0.04	0.04
11	0.04	0.04	0.04	0.04	0.04
11.1	0.04	0.04	0.04	0.04	0.04
11.1	0.04	0.04	0.04	0.04	0.04
11.2	0.04	0.04	0.04	0.04	0.04
11.2	0.04	0.04	0.04	0.04	0.04
11.3	0.04	0.04	0.04	0.04	0.04
11.3	0.04	0.04	0.04	0.04	0.04
11.4	0.04	0.04	0.04	0.04	0.04
11.4	0.04	0.04	0.04	0.04	0.04
11.5	0.04	0.04	0.04	0.04	0.04
11.5	0.04	0.04	0.04	0.04	0.04
11.6	0.04	0.04	0.04	0.04	0.04
11.6	0.04	0.04	0.04	0.04	0.04
11.7	0.04	0.04	0.04	0.04	0.04
11.7	0.04	0.04	0.04	0.04	0.04
11.8	0.04	0.04	0.04	0.04	0.04
11.8	0.04	0.04	0.04	0.04	0.04
11.9	0.04	0.04	0.04	0.04	0.04
11.9	0.04	0.04	0.04	0.04	0.04
12	0.04	0.04	0.04	0.04	0.04
12	0.04	0.04	0.04	0.04	0.04
12.1	0.04	0.04	0.04	0.04	0.04
12.1	0.04	0.04	0.04	0.04	0.04
12.2	0.04	0.04	0.04	0.04	0.04
12.2	0.04	0.04	0.04	0.04	0.04
12.3	0.04	0.04	0.04	0.04	0.04
12.3	0.04	0.04	0.04	0.04	0.04
12.4	0.04	0.04	0.04	0.04	0.04
12.4	0.04	0.04	0.04	0.04	0.04
12.5	0.04	0.04	0.04	0.04	0.04
12.5	0.04	0.04	0.04	0.04	0.04
12.6	0.04	0.04	0.04	0.04	0.04
12.6	0.04	0.04	0.04	0.04	0.04
12.7	0.04	0.04	0.04	0.04	0.04
12.7	0.04	0.04	0.04	0.04	0.04
12.8	0.04	0.04	0.04	0.04	0.04
12.8	0.04	0.04	0.04	0.04	0.04
12.9	0.04	0.04	0.04	0.04	0.04
12.9	0.04	0.04	0.04	0.04	0.04
13	0.04	0.04	0.04	0.04	0.04
13	0.04	0.04	0.04	0.04	0.04
13.1	0.04	0.04	0.04	0.04	0.04
13.1	0.04	0.04	0.04	0.04	0.04
13.2	0.04	0.04	0.04	0.04	0.04
13.2	0.04	0.04	0.04	0.04	0.04
13.3	0.04	0.04	0.04	0.04	0.04
13.3	0.04	0.04	0.04	0.04	0.04
13.4	0.04	0.04	0.04	0.04	0.04
13.4	0.04	0.04	0.04	0.04	0.04
13.5	0.04	0.04	0.04	0.04	0.04
13.5	0.04	0.04	0.04	0.04	0.04
13.6	0.04	0.04	0.04	0.04	0.04
13.6	0.04	0.04	0.04	0.04	0.04
13.7	0.04	0.04	0.04	0.04	0.04
13.7	0.04	0.04	0.04	0.04	0.04
13.8	0.04	0.04	0.04	0.04	0.04
13.8	0.04	0.04	0.04	0.04	0.04
13.9	0.04	0.04	0.04	0.04	0.04
13.9	0.04	0.04	0.04	0.04	0.04
14	0.04	0.04	0.04	0.04	0.04
14	0.04	0.04	0.04	0.04	0.04
14.1	0.04	0.04	0.04	0.04	0.04
14.1	0.04	0.04	0.04	0.04	0.04
14.2	0.04	0.04	0.04	0.04	0.04
14.2	0.04	0.04	0.04	0.04	0.04
14.3	0.04	0.04	0.04	0.04	0.04
14.3	0.04	0.04	0.04	0.04	0.04
14.4	0.04	0.04	0.04	0.04	0.04
14.4	0.04	0.04	0.04	0.04	0.04
14.5	0.04	0.04	0.04	0.04	0.04
14.5	0.04	0.04	0.04	0.04	0.04
14.6	0.04	0.04	0.04	0.04	0.04
14.6	0.04	0.04	0.04	0.04	0.04
14.7	0.04	0.04	0.04	0.04	0.04
14.7	0.04	0.04	0.04	0.04	0.04
14.8	0.04	0.04	0.04	0.04	0.04
14.8	0.04	0.04	0.04	0.04	0.04
14.9	0.04	0.04	0.04	0.04	0.04
14.9	0.04	0.04	0.04	0.04	0.04
15	0.04	0.04	0.04	0.04	0.04
